# This file contains the GENOTYPE regression coefficients associated with each gene ,,,,,,,,,,,,,
,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
14,C08F11.7,1.27E-17,1.89E-14,-2.749687107,0.321729934,3.834270427,1.962549535,0.041959111,0.039877643,0.113306115,0.113306115,WBGene00007454,C08F11.7
15,C30D11.1f,1.34E-17,1.89E-14,-1.715739874,0.200901937,5.203511714,0.935962863,0.01438237,0.004659969,0.046160012,0.046160012,WBGene00006830,unc-103
16,ZK1320.9,5.59E-17,7.38E-14,-0.7362714,0.087927205,8.187794563,0.13677873,0.000268979,0.011327811,0.007634261,0.011327811,WBGene00014258,ZK1320.9
17,H29C22.1,1.47E-16,1.83E-13,-2.724978364,0.329936638,5.373797913,1.535032964,0.006379832,0.156907446,0.041411309,0.156907446,WBGene00045261,H29C22.1
18,M60.2.1,1.60E-16,1.88E-13,-2.969006652,0.359920662,6.190770648,1.76184423,0.01666048,0.177653845,0.022848658,0.177653845,WBGene00019779,M60.2
19,K05B2.3,2.31E-16,2.57E-13,-2.359121379,0.287526157,6.524105512,0.967508479,0.002123175,0.121883761,0.018071884,0.121883761,WBGene00002052,ifa-4
20,C10C5.4,2.46E-16,2.60E-13,-1.230948834,0.150169964,5.818527186,0.695132668,0.003607955,0.017826619,0.030218572,0.030218572,WBGene00007508,C10C5.4
21,VF13D12L.3,4.57E-16,4.47E-13,-0.602627921,0.074194098,8.049795441,0.16286788,0.000323758,0.001958828,0.007933388,0.007933388,WBGene00012149,VF13D12L.3
22,Y102A11A.8,4.65E-16,4.47E-13,1.231510441,0.151657333,5.781450673,0.255243618,0.003434549,0.027236404,0.03106537,0.03106537,WBGene00022418,igcm-4
23,T27E9.1d.2,1.83E-15,1.68E-12,-0.809787664,0.101830537,9.827612415,0.118028991,0.001117518,0.014436669,0.007978803,0.014436669,WBGene00006439,ant-1.1
24,F15E11.13,1.12E-14,9.87E-12,-2.83739518,0.367311426,6.326885937,4.324390231,0.093125907,0.109250618,0.020696025,0.109250618,WBGene00017499,pud-1.1
25,F13H8.8,3.56E-14,3.01E-11,-1.884586287,0.248750742,5.935267883,0.766433855,0.00390761,0.088907788,0.0276801,0.088907788,WBGene00017441,F13H8.8
26,T01G9.6b.1,7.05E-14,5.73E-11,-7.267505741,0.9706851,4.434674072,10.7161157,1.338554812,-0.561094676,0.074789534,0.074789534,WBGene00002196,kin-10
27,Y19D10B.7,8.05E-14,6.31E-11,-2.548724309,0.341219019,6.65285884,4.391447974,0.041077733,0.133567896,0.016533479,0.133567896,WBGene00021236,pud-1.2
28,B0272.1,1.06E-13,8.04E-11,2.682902735,0.360962131,3.923938215,1.92413056,0.088976146,0.103075994,0.106464344,0.106464344,WBGene00006538,tbb-4
29,F13B10.2c,1.51E-13,1.10E-10,7.206515449,0.975640909,3.791402864,9.053705019,1.311056888,-0.424945114,0.116755887,0.116755887,WBGene00004414,rpl-3
30,C30G12.2,2.00E-13,1.41E-10,1.571828716,0.213879682,7.850907409,0.947248091,0.000584521,0.068032257,0.008485216,0.068032257,WBGene00016274,C30G12.2
31,K02D3.1,3.02E-13,2.06E-10,1.810870653,0.248292236,4.603562851,0.855583261,0.021633021,0.070840531,0.066879471,0.070840531,WBGene00010504,K02D3.1
32,K08D8.6a,1.23E-12,8.13E-10,-1.286958817,0.181211355,5.488106566,0.380527819,0.009270798,0.039985535,0.038355449,0.039985535,WBGene00010660,K08D8.6
33,H01G02.1b.1,1.61E-12,1.03E-09,-1.920594402,0.271869309,6.663538093,0.734279403,0.001934636,0.108934746,0.016410837,0.108934746,WBGene00010348,H01G02.1
34,T22C8.2,2.92E-12,1.82E-09,-1.903744522,0.272685936,4.170528479,0.807284545,0.021702064,0.029628676,0.089834365,0.089834365,WBGene00011923,chhy-1
35,F54F7.2,3.21E-12,1.94E-09,-1.122780204,0.161125454,5.610194195,0.23586633,0.00373564,0.031829757,0.035206478,0.035206478,WBGene00010064,F54F7.2
36,F52F10.3,1.19E-11,7.00E-09,1.97397733,0.29109574,4.069403476,0.976927748,0.030795991,0.049768882,0.096309104,0.096309104,WBGene00018707,oac-31
37,F11A10.6b.2,1.29E-11,7.38E-09,-5.411434335,0.799376182,3.916452089,8.013068068,0.851486116,-0.79951791,0.107017305,0.107017305,WBGene00008687,F11A10.6
38,C01G6.7,1.46E-11,8.11E-09,-1.80076113,0.266699551,5.12546216,0.653391594,0.006726783,0.099966193,0.048443307,0.099966193,WBGene00007228,acs-7
39,F10D2.11,1.74E-11,9.44E-09,1.699487136,0.252668172,7.269721345,0.618317274,0.001136378,0.094625431,0.011050972,0.094625431,WBGene00017336,ugt-41
40,R13H8.1h,1.79E-11,9.44E-09,5.901417518,0.87785241,4.869177308,6.721163007,1.099293479,-0.71094896,0.056643801,0.056643801,WBGene00000912,daf-16
41,B0511.11,2.01E-11,1.04E-08,-1.062372488,0.158438749,5.662539701,0.244809709,0.003751145,0.017175027,0.033903111,0.033903111,WBGene00015236,B0511.11
42,C02C2.1,3.31E-11,1.66E-08,-0.899667206,0.135650373,6.05568826,0.183267371,0.002306523,0.025295013,0.025275805,0.025295013,WBGene00015332,tyr-1
43,F15E11.1,4.53E-11,2.18E-08,-2.585309814,0.392568704,6.601501535,5.123935168,0.002589937,0.228575344,0.01713437,0.228575344,WBGene00017490,pud-2.1
44,F15E11.14,4.53E-11,2.18E-08,-2.585309814,0.392568704,6.601501535,5.123935168,0.002589937,0.228575344,0.01713437,0.228575344,WBGene00017500,pud-2.2
45,C23G10.6,5.46E-11,2.57E-08,1.846163419,0.281521053,5.746167461,0.838552271,0.005099752,0.113781403,0.031888483,0.113781403,WBGene00016013,C23G10.6
46,R11A5.4a.1,5.89E-11,2.71E-08,0.63119538,0.096416623,9.381930656,0.148973673,0.001148251,0.012795997,0.007189473,0.012795997,WBGene00011232,pck-2
47,F01G10.1.1,7.35E-11,3.24E-08,-5.386871522,0.827065209,5.609160324,8.983972326,0.600483444,0.425571846,0.035232526,0.425571846,WBGene00008506,tkt-1
48,F58E1.6b,7.24E-11,3.24E-08,2.537719333,0.389486145,4.063010384,1.599157911,0.130815709,4.37E-05,0.096733476,0.096733476,WBGene00003734,nhx-6
49,T13H2.5b,8.06E-11,3.48E-08,0.765117776,0.117721578,6.961555606,0.097627961,0.002873222,0.017914333,0.013357597,0.017914333,WBGene00020496,spat-3
50,Y40B10A.2,8.82E-11,3.73E-08,-1.159023024,0.178697724,5.311428826,0.224720742,0.004780303,0.043096051,0.043119012,0.043119012,WBGene00021487,comt-3
51,C36A4.3,1.28E-10,5.29E-08,-1.251022147,0.19455956,5.155407986,0.305997432,0.009222295,0.027506712,0.047557839,0.047557839,WBGene00014697,cyp-25A3
52,F47B10.7,1.44E-10,5.84E-08,-1.634404573,0.254897257,4.730512105,0.747922227,0.011376611,0.086082306,0.061707649,0.086082306,WBGene00009818,acbp-3
53,F13D12.4a.1,1.60E-10,6.37E-08,-0.477742532,0.074697156,9.358695619,0.377588687,0.001205812,0.00631996,0.007163686,0.007163686,WBGene00000114,alh-8
54,T23G4.1,1.79E-10,7.01E-08,0.825871962,0.129481778,6.19589051,0.144279083,0.002385938,0.00690807,0.022762358,0.022762358,WBGene00006580,tlp-1
55,ZC513.7,3.44E-10,1.32E-07,-0.587776166,0.093635118,8.311722755,0.099864606,0.000232858,0.012918445,0.007414693,0.012918445,WBGene00023209,ZC513.7
56,C46G7.1,3.56E-10,1.35E-07,-1.053494591,0.167967655,6.009295836,0.881662273,0.004229099,0.0380906,0.026175604,0.0380906,WBGene00016721,C46G7.1
57,F38B7.1b,4.42E-10,1.64E-07,-0.757956927,0.121494984,6.658499196,0.250975438,0.002031144,0.020110403,0.016468603,0.020110403,WBGene00009532,ccch-1
58,T03E6.7a,5.20E-10,1.89E-07,-0.795104775,0.127972718,9.925527651,0.515378663,5.41E-05,0.02451147,0.008234634,0.02451147,WBGene00000776,cpl-1
59,F45E10.2a,5.48E-10,1.97E-07,-1.939611844,0.312609958,4.872995,0.610124531,0.090075809,0.001285671,0.05651167,0.05651167,WBGene00009729,F45E10.2
60,K02D7.1a.1,6.08E-10,2.14E-07,-0.825613604,0.133416243,7.317645636,0.243981106,0.000755111,0.02594473,0.010775018,0.02594473,WBGene00019298,K02D7.1
61,F54F7.3,6.49E-10,2.25E-07,-1.138352764,0.184255493,6.513525411,0.469193724,0.001779363,0.049145767,0.018202748,0.049145767,WBGene00010065,F54F7.3
62,F15G9.1a,9.94E-10,3.39E-07,-1.047106511,0.171366222,5.738521971,0.237959562,0.011980567,0.025195725,0.032069005,0.032069005,WBGene00008865,F15G9.1
63,C33B4.4,1.13E-09,3.81E-07,0.986098592,0.161938987,5.630439468,0.37016738,0.004637614,0.01846172,0.03469874,0.03469874,WBGene00007892,C33B4.4
64,ZK287.3,1.47E-09,4.86E-07,-1.626293969,0.268923694,4.792851792,0.511415777,0.010163862,0.098316068,0.05936407,0.098316068,WBGene00013964,ZK287.3
65,H23L24.5,1.58E-09,5.15E-07,-2.682600619,0.444454386,4.370361608,1.939556385,0.035620652,0.260688899,0.078180777,0.260688899,WBGene00004052,pme-4
66,M7.12,1.68E-09,5.38E-07,-2.430826775,0.403375321,3.248419086,1.816067829,0.069598944,0.015632209,0.174468531,0.174468531,WBGene00010887,M7.12
67,F44E7.2,2.26E-09,7.14E-07,0.517989397,0.086653561,7.823569504,0.090765154,0.000869247,0.010394012,0.008573198,0.010394012,WBGene00018424,F44E7.2
68,C06G8.2,2.73E-09,8.47E-07,-0.946963083,0.159224853,6.31773221,0.228026369,0.001625518,0.036403312,0.020831571,0.036403312,WBGene00003876,pept-2
69,F59F4.2,2.90E-09,8.88E-07,-0.901590896,0.151852383,7.6981242,0.388481521,0.000457528,0.034131191,0.009015866,0.034131191,WBGene00010337,F59F4.2
70,ZK512.3,4.24E-09,1.28E-06,1.802615045,0.306843006,4.487326565,0.622974425,0.018596051,0.122632894,0.072178911,0.122632894,WBGene00000425,ced-11
71,R02E12.6.1,4.39E-09,1.31E-06,-1.349262733,0.229910557,5.687621916,0.717185372,0.006626531,0.072661766,0.033289812,0.072661766,WBGene00019830,hrg-1
72,Y50D7A.7,4.75E-09,1.40E-06,-0.582333819,0.099449791,7.680117359,0.154788181,0.000526299,0.014309092,0.009084756,0.014309092,WBGene00000081,ads-1
73,Y37H2A.4,5.07E-09,1.47E-06,1.03798634,0.177592346,5.385320083,0.501945353,0.006209347,0.030670645,0.041099215,0.041099215,WBGene00012564,fbxa-107
74,W06H12.1,5.31E-09,1.52E-06,0.54052303,0.092602004,7.133649089,0.053130092,0.000905749,0.006178802,0.011956948,0.011956948,WBGene00012317,ztf-6
75,W05H9.3.2,5.41E-09,1.52E-06,-0.888600029,0.152311357,6.346200176,0.308873283,0.01438376,0.015848579,0.020414365,0.020414365,WBGene00021050,W05H9.3
76,Y38F1A.5.1,5.79E-09,1.61E-06,0.854634007,0.146774894,5.901958449,0.231052734,0.003930225,0.025017085,0.028384079,0.028384079,WBGene00000870,cyd-1
77,C27C7.1,7.88E-09,2.16E-06,0.397531721,0.068884627,8.833510697,0.066066523,0.000171484,0.005698997,0.006946154,0.006946154,WBGene00007766,C27C7.1
78,F42G9.7,8.14E-09,2.21E-06,-0.512743599,0.08893275,7.250641428,0.073602262,0.000696435,0.007477808,0.011167116,0.011167116,WBGene00004922,snt-2
79,T08B1.6,8.81E-09,2.36E-06,-1.640063552,0.285123987,4.706141445,0.47405703,0.009520696,0.112422836,0.062656763,0.112422836,WBGene00020343,acs-3
80,T05F1.10,9.45E-09,2.50E-06,-2.13183115,0.371383669,3.38702172,1.185022772,0.050167851,0.146305354,0.156720894,0.156720894,WBGene00000968,dhs-4
81,Y54G2A.3a,9.76E-09,2.55E-06,-1.245753379,0.217225546,6.443886543,0.530934531,0.008743927,0.06203648,0.019079505,0.06203648,WBGene00021869,Y54G2A.3
82,F07A11.2b.4,1.13E-08,2.90E-06,0.485302294,0.084983329,9.156567855,0.0684784,0.003834877,0.003466316,0.006998372,0.006998372,WBGene00008546,gfat-1
83,F36H1.6,1.17E-08,2.98E-06,-0.43348109,0.075997459,7.909961661,0.063203491,0.000358122,0.006446044,0.008305299,0.008305299,WBGene00000109,alh-3
84,C06G8.1,1.23E-08,3.06E-06,1.716603935,0.301385383,5.806021202,0.545009806,0.003798294,0.132451429,0.030502082,0.132451429,WBGene00007384,swt-3
85,F55B11.2.2,1.22E-08,3.06E-06,-0.717299134,0.125903443,8.365043724,0.115016992,0.000489314,0.023288201,0.007333768,0.023288201,WBGene00010084,F55B11.2
86,C44B12.2b.3,1.33E-08,3.26E-06,5.664463472,0.99678017,3.397730755,12.11472645,0.989654747,0.500701313,0.155450338,0.500701313,WBGene00003893,ost-1
87,W10G6.2a,1.36E-08,3.31E-06,-0.918088306,0.161688195,5.974969505,0.250810056,0.012351784,0.025414704,0.026862824,0.026862824,WBGene00004789,sgk-1
88,T27D12.6,1.38E-08,3.32E-06,2.006907803,0.353592837,3.511226816,0.72336588,0.044754019,0.128478868,0.142787822,0.142787822,WBGene00194848,T27D12.6
89,F56H11.1c,1.56E-08,3.72E-06,2.825147989,0.499639524,3.364125658,3.485534601,0.214975199,0.07043599,0.159484283,0.159484283,WBGene00001403,fbl-1
90,C45B11.6,2.06E-08,4.85E-06,2.988223367,0.532976091,2.2611651,3.850550729,0.04374757,0.086527348,0.382347699,0.382347699,WBGene00045379,C45B11.6
91,T23F11.1.1,2.17E-08,5.05E-06,-0.400526859,0.07155191,8.487938364,0.04263998,0.00020664,0.007472874,0.007176977,0.007472874,WBGene00011953,ppm-2
92,Y105C5B.28b,2.34E-08,5.38E-06,0.959464266,0.17179758,6.852414097,0.356660236,0.023426347,0.020845265,0.014388046,0.020845265,WBGene00001604,gln-3
93,T10E9.3,2.46E-08,5.59E-06,1.736506813,0.311410028,4.192592736,0.63929575,0.023129532,0.122334776,0.088477502,0.122334776,WBGene00020413,T10E9.3
94,Y50D4B.3,2.50E-08,5.62E-06,-1.50915754,0.27077643,4.758375735,1.105210023,0.013179424,0.096800388,0.060645661,0.096800388,WBGene00021742,Y50D4B.3
95,D1086.10c,2.82E-08,6.22E-06,-1.380468664,0.248639617,7.632010422,0.487984487,0.003883149,0.088849339,0.009275536,0.088849339,WBGene00044080,D1086.10
96,F22D6.14,2.82E-08,6.22E-06,-0.678890232,0.12227492,6.406008565,0.12490967,0.002847343,0.009390679,0.019579391,0.019579391,WBGene00009055,F22D6.14
97,Y17G9A.4,2.90E-08,6.32E-06,-2.130199547,0.383992422,3.28729869,0.865938224,0.051926513,0.159450445,0.169248757,0.169248757,WBGene00021197,Y17G9A.4
98,M05D6.7,3.24E-08,6.99E-06,-1.456808904,0.263531278,5.934848716,0.367963401,0.003162647,0.101010454,0.027688856,0.101010454,WBGene00001523,gbh-2
99,ZK892.2,3.28E-08,7.01E-06,-0.94951216,0.171840092,6.51590973,0.349376438,0.001684123,0.042609403,0.018173204,0.042609403,WBGene00003773,nlt-1
100,C05G6.1,3.73E-08,7.89E-06,0.902821393,0.164058167,6.341267718,0.148970499,0.002090585,0.038282039,0.020485735,0.038282039,WBGene00015497,nhr-76
101,K11D12.4,3.88E-08,8.13E-06,-1.480407548,0.269356407,5.441377223,1.197631356,0.0070589,0.101770411,0.039594226,0.101770411,WBGene00019644,cpt-4
102,F09A5.9,4.36E-08,9.04E-06,-1.001180043,0.182843037,6.185137679,0.401954864,0.00227655,0.047870814,0.022944089,0.047870814,WBGene00045245,ttr-34
103,D1086.10b,5.13E-08,1.05E-05,-1.350983327,0.248030747,8.166513504,0.419408935,0.000777569,0.091501308,0.007676537,0.091501308,WBGene00044080,D1086.10
104,Y50D4B.4,5.15E-08,1.05E-05,-1.652348457,0.303397062,4.509749033,1.572972797,0.022873476,0.115201189,0.071109047,0.115201189,WBGene00021743,Y50D4B.4
105,C17G1.6b,5.70E-08,1.15E-05,-1.367961393,0.252017407,5.963276215,0.630216844,0.005732905,0.089536255,0.02710105,0.089536255,WBGene00003553,nas-37
106,F18E9.3,6.24E-08,1.24E-05,-1.208673306,0.223337123,4.809450121,0.299680177,0.010147226,0.064671979,0.058759227,0.064671979,WBGene00017569,F18E9.3
107,T22B7.7,6.32E-08,1.25E-05,1.914585662,0.353928723,8.569171522,0.875690408,0.000338663,0.187559649,0.007095386,0.187559649,WBGene00020674,T22B7.7
108,C47D12.6b.1,6.68E-08,1.31E-05,-2.582459858,0.47826587,7.325249008,1.594066594,0.33237407,-0.247482243,0.010733293,0.010733293,WBGene00006617,tars-1
109,W07G4.5,7.50E-08,1.45E-05,-1.375668824,0.255758668,6.412306387,0.359584442,0.001814285,0.09630446,0.019494728,0.09630446,WBGene00012339,W07G4.5
110,W09C3.7,8.19E-08,1.58E-05,0.656531639,0.122423481,6.874582506,0.130978714,0.001078135,0.021403128,0.014170132,0.021403128,WBGene00021114,W09C3.7
111,Y39A3CL.3,9.11E-08,1.74E-05,0.566639478,0.106041192,6.834574549,0.136037868,0.001134222,0.01573288,0.014566518,0.01573288,WBGene00021441,Y39A3CL.3
112,ZC404.8.2,9.87E-08,1.86E-05,0.755138823,0.14169897,9.785568495,0.116649607,0.005993159,0.024124738,0.007878745,0.024124738,WBGene00004984,spn-4
113,F40B1.2,1.02E-07,1.91E-05,-2.021529347,0.37977986,3.348121534,1.163369098,0.054894389,0.103049078,0.161454724,0.161454724,WBGene00018224,bath-18
114,Y55F3AM.11,1.04E-07,1.93E-05,-0.658615478,0.123811287,6.311875835,0.153974643,0.002074866,0.01291232,0.020918986,0.020918986,WBGene00021928,Y55F3AM.11
115,Y97E10AR.6,1.13E-07,2.08E-05,-0.389057668,0.073348586,8.111144964,0.023656933,0.000276994,0.002340398,0.007793028,0.007793028,WBGene00022401,Y97E10AR.6
116,C01F6.6f,1.31E-07,2.38E-05,5.205260029,0.986238847,3.506368239,6.522272825,1.31569914,-1.255601846,0.143301454,0.143301454,WBGene00006438,nrfl-1
117,C07G2.3b.1,1.33E-07,2.41E-05,-5.188473928,0.983715767,2.353844491,5.87663047,0.675091375,0.776453691,0.354770946,0.776453691,WBGene00000380,cct-5
118,F02D8.5,1.48E-07,2.60E-05,1.474696821,0.280607842,5.045819596,0.644067402,0.008397917,0.109713225,0.050862785,0.109713225,WBGene00008522,F02D8.5
119,F56B3.7,1.48E-07,2.60E-05,-1.531059149,0.291324187,4.471665426,0.428671702,0.013148578,0.114156095,0.072940698,0.114156095,WBGene00018931,ugt-52
120,K01G12.3,1.46E-07,2.60E-05,0.66416652,0.126334841,6.250065135,0.099795908,0.002065991,0.016111838,0.021874747,0.021874747,WBGene00010483,K01G12.3
121,Y38F2AL.12,1.50E-07,2.63E-05,-2.291611849,0.436318163,3.068297907,1.724061221,0.08463905,0.07182666,0.200921258,0.200921258,WBGene00219413,Y38F2AL.12
122,ZK829.9,1.74E-07,3.02E-05,0.387538622,0.074169727,8.056030395,0.043268685,0.000333176,0.002432774,0.007918546,0.007918546,WBGene00014097,ZK829.9
123,W05H9.3.1,1.76E-07,3.03E-05,-0.896134446,0.171572722,7.121094363,0.253023541,0.002957506,0.041198292,0.012049592,0.041198292,WBGene00021050,W05H9.3
124,K08E3.10,1.78E-07,3.03E-05,-0.766294268,0.146762117,6.40420578,0.121992088,0.001714669,0.030594009,0.01960374,0.030594009,WBGene00023451,mlc-7
125,F28F8.7,2.08E-07,3.52E-05,-1.082337479,0.208462161,6.538876373,0.393114617,0.001446138,0.063738571,0.017890219,0.063738571,WBGene00009224,F28F8.7
126,C28C12.7a,2.51E-07,4.19E-05,-0.761067913,0.147572925,7.897377644,0.131147763,0.00047798,0.032188673,0.008342484,0.032188673,WBGene00004995,spp-10
127,Y46G5A.21,2.52E-07,4.19E-05,-0.952783993,0.18477305,6.09691119,0.575161393,0.002562835,0.048648785,0.024504529,0.048648785,WBGene00012911,acl-7
128,W09D6.5,2.55E-07,4.21E-05,-0.551067621,0.106919908,6.901706314,0.069219566,0.000999161,0.016148639,0.013909416,0.016148639,WBGene00012358,W09D6.5
129,Y38C9B.1,2.57E-07,4.21E-05,-1.505859811,0.292248432,3.934190222,0.452681771,0.0224015,0.055563412,0.105712219,0.105712219,WBGene00021412,cyp-29A3
130,K12B6.9,2.64E-07,4.28E-05,-1.272192966,0.247160044,4.414705763,0.637517986,0.015814462,0.05903445,0.075817669,0.075817669,WBGene00023432,K12B6.9
131,R05F9.12,2.67E-07,4.28E-05,-0.435035807,0.084554806,8.362807884,0.406781864,0.000256788,0.010467484,0.007337002,0.010467484,WBGene00019895,aagr-2
132,T09B9.2,2.65E-07,4.28E-05,-2.105446097,0.409108277,4.370866155,1.496045314,0.025139597,0.225914777,0.078153248,0.225914777,WBGene00011643,slc-17.9
133,F56A12.1,2.78E-07,4.43E-05,2.440696299,0.475076986,3.569339563,1.486130273,0.095862949,0.242684264,0.136826105,0.242684264,WBGene00006775,unc-39
134,F36A2.14,2.91E-07,4.59E-05,-2.055426944,0.400712286,3.342762858,1.45365686,0.07873372,0.124222476,0.162121784,0.162121784,WBGene00023490,F36A2.14
135,F47E1.4,3.11E-07,4.86E-05,-2.762408513,0.539860289,4.458372678,1.677965955,0.018053261,0.419120436,0.073596934,0.419120436,WBGene00018568,F47E1.4
136,F40E10.5,3.22E-07,5.01E-05,1.250824464,0.244780121,4.584301835,0.99242672,0.022158823,0.033765914,0.067717139,0.067717139,WBGene00009573,F40E10.5
137,F02E8.6,3.25E-07,5.02E-05,-1.579444801,0.309196532,5.953375278,0.580298612,0.002968792,0.140434951,0.027304388,0.140434951,WBGene00003561,ncr-1
138,C41G6.13,3.41E-07,5.18E-05,3.126440489,0.61310508,3.2671605,5.418026819,0.056126628,0.507720131,0.171931912,0.507720131,WBGene00008059,C41G6.13
139,Y75B12B.8,3.41E-07,5.18E-05,3.126440489,0.61310508,3.2671605,5.418026819,0.056126628,0.507720131,0.171931912,0.507720131,WBGene00013570,Y75B12B.8
140,C18B2.5a,3.51E-07,5.26E-05,-0.622817052,0.122264656,6.529306693,0.303696154,0.004415194,0.015020226,0.018007776,0.018007776,WBGene00015956,C18B2.5
141,C47D12.5,3.49E-07,5.26E-05,-0.602415081,0.118240733,6.435472597,0.250192503,0.001782688,0.004159606,0.019188618,0.019188618,WBGene00008139,C47D12.5
142,Y37E3.1,3.55E-07,5.28E-05,0.423140159,0.083103721,7.521394443,0.095450022,0.000607171,0.007188742,0.009752172,0.009752172,WBGene00021346,Y37E3.1
143,T16G1.6,3.82E-07,5.65E-05,-2.061556216,0.406004028,3.733717287,1.887793454,0.036694208,0.210564698,0.121598121,0.210564698,WBGene00011800,T16G1.6
144,T26H2.2,4.45E-07,6.53E-05,2.823005563,0.559166677,2.434713617,2.058061489,0.136592486,0.080225827,0.332408573,0.332408573,WBGene00012064,fbxb-115
145,K01G5.7.2,4.57E-07,6.62E-05,0.527902269,0.104672392,8.569339681,0.113885325,0.00933923,-0.001973153,0.007095234,0.007095234,WBGene00006536,tbb-1
146,K02B9.1,4.56E-07,6.62E-05,0.347012783,0.068795841,8.834635707,0.079147973,0.000153411,0.006909923,0.00694589,0.00694589,WBGene00010492,meg-1
147,F49E12.6,4.77E-07,6.87E-05,0.810431,0.160954907,6.040747178,0.165314929,0.002795171,0.036064552,0.025561932,0.036064552,WBGene00009899,efl-3
148,F32A5.3,4.93E-07,7.04E-05,-1.072152928,0.213193649,5.519474599,2.253065283,0.009141535,0.059035763,0.037533287,0.059035763,WBGene00017969,F32A5.3
149,Y71H10A.2.1,4.96E-07,7.04E-05,-0.84105143,0.167278225,6.237097429,0.242323937,0.01320808,0.028764927,0.022082963,0.028764927,WBGene00022200,fard-1
150,F44E2.4,5.18E-07,7.30E-05,1.501024158,0.299037644,4.113864632,0.81700752,0.025708948,0.10842632,0.093408614,0.10842632,WBGene00018418,F44E2.4
151,C54D1.4,5.59E-07,7.83E-05,-0.86431107,0.17269272,5.850544885,0.147689887,0.002799396,0.041934767,0.02950274,0.041934767,WBGene00000116,alh-10
152,Y43E12A.2,5.86E-07,8.15E-05,-0.814884295,0.163114323,5.685267955,0.202626563,0.003395655,0.036513769,0.033347049,0.036513769,WBGene00012794,Y43E12A.2
153,F16B4.8,6.13E-07,8.48E-05,0.416527314,0.083522959,7.487568989,0.074417544,0.000555388,0.004926223,0.009908739,0.009908739,WBGene00000387,cdc-25.2
154,C09F9.2,6.55E-07,8.87E-05,1.556996334,0.313005223,5.131925413,1.886420547,0.015584988,0.131373416,0.048251145,0.131373416,WBGene00007479,C09F9.2
155,F08A8.2,6.52E-07,8.87E-05,1.095253729,0.220140846,5.973496582,0.866565916,0.003797745,0.068895243,0.026892717,0.068895243,WBGene00008565,F08A8.2
156,F43G6.4,6.52E-07,8.87E-05,-0.90565164,0.182036773,5.277332766,0.20733541,0.005639071,0.017900288,0.044067009,0.044067009,WBGene00009657,F43G6.4
157,F26A3.4,6.89E-07,9.27E-05,-1.899558229,0.382627068,7.295846436,0.714351969,0.000933203,0.218672007,0.010897739,0.218672007,WBGene00009142,F26A3.4
158,C18F3.2a,7.34E-07,9.71E-05,0.39954516,0.080683256,7.94747085,0.071471106,0.001566548,0.002604053,0.008198134,0.008198134,WBGene00004732,sax-7
